tahun;provinsi;kabupaten;kecamatan;kelurahan
2020;PROVINSI JAWA TIMUR;SIDOARJO;JABON;PANGGREH
2020;PROVINSI JAWA TIMUR;SIDOARJO;JABON;TROMPOASRI
2020;PROVINSI JAWA TIMUR;SIDOARJO;JABON;KEDUNGREJO
2020;PROVINSI JAWA TIMUR;SIDOARJO;JABON;SEMAMBUNG
2020;PROVINSI JAWA TIMUR;SIDOARJO;JABON;KEDUNGPANDAN
2020;PROVINSI JAWA TIMUR;SIDOARJO;JABON;KUPANG
2020;PROVINSI JAWA TIMUR;SIDOARJO;JABON;TAMBAKKALISOGO
2020;PROVINSI JAWA TIMUR;SIDOARJO;JABON;BALONGTANI
2020;PROVINSI JAWA TIMUR;SIDOARJO;JABON;JEMIRAHAN
2020;PROVINSI JAWA TIMUR;SIDOARJO;JABON;DUKUHSARI
2020;PROVINSI JAWA TIMUR;SIDOARJO;JABON;KEDUNGCANGKRING
2020;PROVINSI JAWA TIMUR;SIDOARJO;JABON;PEJARAKAN
2020;PROVINSI JAWA TIMUR;SIDOARJO;JABON;BESUKI
2020;PROVINSI JAWA TIMUR;SIDOARJO;JABON;KEBOGUYANG
2020;PROVINSI JAWA TIMUR;SIDOARJO;JABON;PERMISAN
2020;PROVINSI JAWA TIMUR;SIDOARJO;TANGGULANGIN;KALISAMPURNO
2020;PROVINSI JAWA TIMUR;SIDOARJO;TANGGULANGIN;KETAPANG
2020;PROVINSI JAWA TIMUR;SIDOARJO;TANGGULANGIN;KALITENGAH
2020;PROVINSI JAWA TIMUR;SIDOARJO;TANGGULANGIN;GEMPOLSARI
2020;PROVINSI JAWA TIMUR;SIDOARJO;TANGGULANGIN;SENTUL
2020;PROVINSI JAWA TIMUR;SIDOARJO;TANGGULANGIN;PENATARSEWU
2020;PROVINSI JAWA TIMUR;SIDOARJO;TANGGULANGIN;BANJARASRI
2020;PROVINSI JAWA TIMUR;SIDOARJO;TANGGULANGIN;BANJARPANJI
2020;PROVINSI JAWA TIMUR;SIDOARJO;TANGGULANGIN;KEDUNGBANTENG
2020;PROVINSI JAWA TIMUR;SIDOARJO;TANGGULANGIN;KALIDAWIR
2020;PROVINSI JAWA TIMUR;SIDOARJO;TANGGULANGIN;PUTAT
